Nom,Institution,Plateforme,Lien,Interets,Donnees_Extraites,Sentiment_Analyse
Kambale Kasambya Moïse,Université de l'Assomption au Congo,ResearchGate,https://www.researchgate.net/profile/Kambale-Kasambya-Moise,"Machine Learning, Artificial Intelligence, Data Mining",Intégration des WLAN dans les établissements d'enseignement supérieur | Revue de littérature sur la différence entre API et Web Service,Positive
Héritier Nsenge Mpia,Université de l'Assomption au Congo,SciProfiles / ResearchGate,https://sciprofiles.com/profile/2245033,"Information Systems, Data Mining, Machine Learning in education",Lightweight Deep Learning System for Infant-Cry Recognition | Impact of data mining on education,Positive
Nephthali Inipaivudu,Université de l'Assomption au Congo,ResearchGate,https://www.researchgate.net/profile/Nephthali-Inipaivudu,Informatique de gestion,L'algorithme de rétro-propagation de gradient dans le perceptron multicouche,Neutral
Romain Kazadi Tshikolu,Université de l'Assomption au Congo,ResearchGate,https://www.researchgate.net/scientific-contributions/Romain-Kazadi-Tshikolu-2328303521,"Engineering Education, Sustainability, AI-assisted learning",AIPLE framework's integration of AI-assisted learning | Engineering education transformation,Positive
Kasereka Lusenge Grâce,Université de l'Assomption au Congo,ResearchGate,https://www.researchgate.net/scientific-contributions/Kasereka-Lusenge-Grace-2330900832,"Deep Learning, IoT, Intelligent monitoring",Lightweight Deep Learning System for Infant-Cry Recognition with Real-Time Notification,Positive
